Attribute,Value
Color,Black
Color,Blue
Color,Brass
Color,Brown
Color,Carbon Fiber Black
Color,Chrome
Color,Gray
Color,Green
Color,Lavender
Color,Magenta
Color,Orange
Color,Pink
Color,Purple
Color,Red
Color,Teal
Color,White
Color,Yellow
Color,Fairy Floss
Color,Funfetti
Color,Mermaid
Color,Pixie Dust
Color,Unicorn
Color,Blood Lust
Color,Blood of My Enemies
Color,Bloody Valentine
Color,Dark Magic
Color,Galaxy
Color,Galaxy Black
Color,Lavender Elixir
Color,Love Potion
Color,Mint
Color,Mint Elixir
Color,Monster Mint
Color,Night Shade
Color,Pale Blue Elixir
Color,Poison Apple
Color,Poison Apple Green
Color,Red Shadow
Color,Ruby
Color,Ruby Red
Color,Solar Flare
Color,Vampire Blood
Color,Witch's Hex
Color,Witchcraft
Color,Witches Blue
Color,Witches Brew
Color,Asexual Pride
Color,Bi Pride
Color,LGBTQ Pride
Color,Lesbian Pride
Color,Non-Binary Pride
Color,Pan Pride
Color,Pride Progress Spikie
Color,Rainbow
Color,Rainbow Glow
Color,Trans Pride
Color,Be My Valentine
Color,Black Heart
Color,Burnt By Love
Color,Cherry Kiss
Color,Cotton Candy Kiss
Color,Crimson Curse
Color,Ghost Glitter
Color,Ghoul Pop
Color,Midnight Kiss
Color,Phantom Frost
Color,Pumpkin Stripes
Color,Pure Love
Color,ARACHNAE
Color,Army Brown
Color,Army Green
Color,Citrus Rave
Color,Electric Lime
Color,Enchanted Mist
Color,Green Apple
Color,Laser Lemon
Color,Midnight Crush
Color,Neon Berry
Color,Phoenix Color Shift
Color,RGB Color Shift
